,Historical Mean Returns,Historical Portfolio Mean Return
Mkt-RF,0.5775582990397805,
SMB,0.2032235939643347,
HML,0.2881893004115227,
RMW,0.28230452674897116,
CMA,0.26897119341563785,
RF,0.36304526748971194,
Mkt,0.9406035665294925,
Portfolio_Return,0.3910562414266117,
Portfolio,,0.4176993925142073
